ID,dD,d18O,dxs,dln
alhic2302-158-r-26,-294.32,-36.97,1.45,10.92141315
alhic2302-158-r-27,-294.84,-36.92,0.56,9.633113833
alhic2302-158-r-28,-294.44,-36.95,1.18,10.53086816
alhic2302-158-r-29,-294.41,-36.96,1.27,10.68362392
alhic2302-158-r-30,-294.41,-36.93,1.04,10.35293405
alhic2302-158-r-31,-294.94,-37.07,1.62,11.14528818
alhic2302-158-r-32,-293.99,-36.91,1.28,10.72758003
alhic2302-158-r-33,-294.41,-36.96,1.26,10.68362392
alhic2302-158-r-34,-294,-36.9,1.23,10.60321503
alhic2302-158-r-35,-293.93,-36.92,1.42,10.92276914
alhic2302-158-r-36,-293.46,-36.86,1.46,10.92706488
alhic2302-158-r-37,-293.34,-36.87,1.66,11.20706387
alhic2302-158-r-38,-292.91,-36.84,1.78,11.48488206
alhic2302-158-r-39,-292.62,-36.76,1.45,11.01393548
alhic2302-158-r-40,-293.34,-36.85,1.42,10.98672787
alhic2302-158-r-41,-292.58,-36.79,1.7,11.40079873
alhic2302-158-r-42,-291.9,-36.72,1.85,11.59093611
alhic2302-158-r-43,-291.48,-36.72,2.28,12.18389684
alhic2302-158-r-44,-291.3,-36.68,2.17,11.99770964
alhic2302-158-r-45,-290.87,-36.61,2.02,11.83419097
alhic2302-158-r-46,-290.66,-36.61,2.22,12.13028465
alhic2302-158-r-47,-290.45,-36.59,2.28,12.20633355
alhic2302-158-r-48,-291.06,-36.64,2.02,11.89621146
alhic2302-158-r-49,-291.2,-36.64,1.92,11.69871403
alhic2302-158-r-50,-291.83,-36.7,1.8,11.46966993
alhic2302-158-r-51,-292.18,-36.78,2.05,11.85596056
alhic2302-158-r-52,-293.26,-36.84,1.46,10.98977302
alhic2302-155_2-l-1,-302.13,-37.94,1.39,10.52078148
alhic2302-155_2-l-2,-300.39,-37.75,1.58,10.90412717
alhic2302-155_2-l-3,-299.84,-37.73,1.99,11.46835016
alhic2302-155_2-l-4,-299.45,-37.67,1.93,11.3605247
alhic2302-155_2-l-5,-299.54,-37.7,2.05,11.56435604
alhic2302-155_2-l-6,-299.97,-37.76,2.11,11.61510269
alhic2302-155_2-l-7,-299.96,-37.74,1.93,11.40775264
alhic2302-155_2-l-8,-299.77,-37.7,1.81,11.23594647
alhic2302-155_2-l-9,-299.97,-37.76,2.08,11.61510269
alhic2302-155_2-l-10,-300.08,-37.8,2.28,11.90131201
alhic2302-155_2-l-11,-299.94,-37.74,2.01,11.43632203
alhic2302-155_2-l-12,-300.26,-37.82,2.27,11.86582944
alhic2302-155_2-l-13,-300.5,-37.83,2.13,11.63365841
alhic2302-155_2-l-14,-300.34,-37.8,2.03,11.52977197
alhic2302-155_2-l-15,-300.57,-37.79,1.76,11.09013642
alhic2302-155_2-l-16,-301.6,-37.89,1.54,10.72525635
alhic2302-155_2-l-17,-302.13,-37.97,1.6,10.85368361
alhic2302-155_2-l-18,-302.5,-38,1.51,10.65632624
alhic2302-155_2-l-19,-302.45,-37.98,1.37,10.50602232
alhic2302-155_2-l-20,-303.11,-38.06,1.36,10.44752497
alhic2302-155_2-l-21,-303.35,-38.08,1.33,10.32518141
alhic2302-155_2-l-22,-302.67,-38,1.36,10.41256894
alhic2302-155_2-l-23,-303.17,-38.08,1.46,10.58352742
alhic2302-155_2-l-24,-302.86,-38.01,1.23,10.25106791
alhic2302-155_2-l-25,-302.85,-38.03,1.36,10.48744195
alhic2302-155_2-l-26,-302.82,-38.05,1.57,10.75253244
alhic2302-155_2-l-27,-301.51,-37.89,1.57,10.85411403
alhic2302-155_2-l-28,-301.31,-37.86,1.56,10.80767833
alhic2302-155_2-l-29,-299.57,-37.64,1.58,10.85697171
alhic2302-155_2-l-30,-298.08,-37.49,1.86,11.32174139
alhic2302-155_2-l-31,-297.2,-37.4,2,11.57930761
alhic2302-155_2-l-32,-295.82,-37.18,1.64,11.1103613
alhic2302-155_2-l-33,-295.94,-37.22,1.83,11.38159952
alhic2302-155_2-l-34,-295.38,-37.13,1.63,11.1830909
alhic2302-155_2-l-35,-294.95,-37.08,1.73,11.24142964
alhic2302-155_2-l-36,-294.28,-37.02,1.89,11.52942651
alhic2302-155_2-l-37,-292.82,-36.81,1.63,11.28172873
alhic2302-155_2-l-38,-292.63,-36.76,1.46,10.99979871
alhic2302-155_2-l-39,-291.62,-36.66,1.67,11.32601758
alhic2302-155_2-l-40,-290.6,-36.5,1.37,11.00546296
alhic2302-155_2-l-41,-291.3,-36.59,1.43,11.00767309
alhic2302-155_2-l-42,-291.3,-36.59,1.44,11.00767309
alhic2302-155_2-l-43,-290.83,-36.55,1.54,11.23081251
alhic2302-155_2-l-44,-291.18,-36.58,1.45,11.06701522
alhic2302-155_2-l-45,-290.25,-36.48,1.56,11.27891903
alhic2302-155_2-l-46,-289.18,-36.33,1.46,11.13780794
alhic2302-155_2-r-1,-299.55,-37.64,1.55,10.88552519
alhic2302-155_2-r-2,-299.93,-37.72,1.8,11.2290006
alhic2302-155_2-r-3,-300.06,-37.7,1.52,10.82171105
alhic2302-155_2-r-4,-300.41,-37.74,1.55,10.76472553
alhic2302-155_2-r-5,-301.01,-37.81,1.5,10.68256291
alhic2302-155_2-r-6,-301.99,-37.92,1.39,10.49947359
alhic2302-155_2-r-7,-302.03,-37.91,1.23,10.33122805
alhic2302-155_2-r-8,-302.49,-38,1.54,10.67066306
alhic2302-155_2-r-9,-302.53,-38,1.48,10.61331457
alhic2302-155_2-r-10,-302.91,-38.09,1.79,11.06763855
alhic2302-155_2-r-11,-302.91,-38.05,1.51,10.62343263
alhic2302-155_2-r-12,-302.5,-37.99,1.46,10.54532962
alhic2302-155_2-r-13,-302.75,-38.04,1.61,10.7418987
alhic2302-155_2-r-14,-302.09,-37.94,1.4,10.5780971
alhic2302-155_2-r-15,-301.85,-37.91,1.43,10.58908554
alhic2302-155_2-r-16,-301.98,-37.87,0.95,9.959182393
alhic2302-155_2-r-17,-299.86,-37.64,1.25,10.44285459
alhic2302-155_2-r-18,-298.62,-37.49,1.34,10.55212687
alhic2302-155_2-r-19,-297.64,-37.45,1.97,11.50594509
alhic2302-155_2-r-20,-296.61,-37.3,1.76,11.31320066
alhic2302-155_2-r-21,-295.88,-37.2,1.75,11.24596945
alhic2302-155_2-r-22,-294.98,-37.1,1.81,11.41954994
alhic2302-155_2-r-23,-292.74,-36.8,1.65,11.28471979
alhic2302-155_2-r-24,-291.57,-36.61,1.33,10.84657838
alhic2302-155_2-r-25,-291.01,-36.53,1.2,10.75709269
alhic2302-155_2-r-26,-290.71,-36.5,1.29,10.85039032
alhic2302-155_2-r-27,-290.21,-36.43,1.22,10.78591036
alhic2302-155_2-r-28,-290.55,-36.48,1.33,10.85614563
alhic2302-155_2-r-29,-290.39,-36.45,1.23,10.75200621
alhic2302-155_2-r-30,-290.62,-36.53,1.62,11.30701974
alhic2302-155_2-r-31,-290.28,-36.46,1.43,11.01688191
alhic2302-155_2-r-32,-290.28,-36.47,1.49,11.12676218
alhic2302-155_2-r-33,-289.52,-36.36,1.37,10.98875147
alhic2302-155_2-r-34,-289.2,-36.33,1.43,11.10967102
alhic2302-155_2-r-35,-289.68,-36.39,1.4,11.09297052
alhic2302-155_2-r-36,-289.06,-36.31,1.43,11.08706333
alhic2302-155_2-r-37,-289.06,-36.3,1.36,10.97729952
alhic2302-155_2-r-38,-288.6,-36.25,1.36,11.07541103
alhic2302-155_2-r-39,-288.64,-36.22,1.11,10.69004363
alhic2302-155_2-r-40,-289.11,-36.32,1.41,11.12650253
alhic2302-155_2-r-41,-289.14,-36.31,1.38,10.97452993
alhic2302-155_2-r-42,-289.33,-36.37,1.62,11.36594804
alhic2302-155_2-r-43,-289.1,-36.31,1.35,11.03079821
alhic2302-155_2-r-44,-289.16,-36.31,1.33,10.9463946
alhic2302-155_2-r-45,-289.2,-36.33,1.47,11.10967102
alhic2302-155_2-r-46,-289.3,-36.36,1.6,11.29835335
alhic2302-158-l-53,-292.88,-36.74,1.04,10.42613874
alhic2302-155_2-stick2-1,-289.39,-36.25,0.61,9.964307619
alhic2302-155_2-stick2-2,-299.08,-37.52,1.06,10.22797747
alhic2302-155_2-stick2-3,-300.55,-37.64,0.6,9.456851468
alhic2302-155_2-stick2-4,-302.05,-37.86,0.84,9.747992128
alhic2302-155_2-stick2-5,-301.87,-37.85,0.9,9.894962742
alhic2302-155_2-stick2-6,-301.68,-37.83,0.96,9.945314727
