section,stick,top_depth,bottom_depth,mid_depth,dD,d17O,d18O,dxs,x_lo,x_hi,y_lo,y_hi,effective_center_x,effective_center_y,top_angle,side_angle,top_depth_adj,bottom_depth_adj,mid_depth_adj
228_4,c_iso,155.135,155.14499999999998,155.14,-291.17,,-36.59,1.54,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.10938384913953,155.11938384913952,155.11438384913953
228_4,c_iso,155.145,155.155,155.15,-291.12,,-36.57,1.46,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.11938384913955,155.12938384913954,155.12438384913955
228_4,c_iso,155.155,155.165,155.16,-290.66,,-36.51,1.46,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.12938384913954,155.13938384913953,155.13438384913954
228_4,c_iso,155.165,155.17499999999998,155.17,-290.4,,-36.45,1.16,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.13938384913953,155.14938384913953,155.14438384913953
228_4,c_iso,155.175,155.185,155.18,-290.22,,-36.41,1.03,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.14938384913955,155.15938384913954,155.15438384913955
228_4,c_iso,155.185,155.195,155.19,-291.75,,-36.62,1.19,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.15938384913954,155.16938384913954,155.16438384913954
228_4,c_iso,155.195,155.20499999999998,155.2,-293.52,,-36.83,1.13,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.16938384913954,155.17938384913953,155.17438384913953
228_4,c_iso,155.205,155.215,155.21,-295.11,,-37.03,1.15,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.17938384913955,155.18938384913955,155.18438384913955
228_4,c_iso,155.215,155.225,155.22,-296.37,,-37.17,0.99,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.18938384913955,155.19938384913954,155.19438384913954
228_4,c_iso,155.225,155.23499999999999,155.23,-299.77,,-37.33,-1.1,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.19938384913954,155.20938384913953,155.20438384913953
228_4,c_iso,155.235,155.245,155.24,-296.68,,-37.23,1.2,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.20938384913956,155.21938384913955,155.21438384913955
228_4,c_iso,155.245,155.255,155.25,-296.16,,-37.18,1.25,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.21938384913955,155.22938384913954,155.22438384913954
228_4,c_iso,155.255,155.265,155.26,-295.65,,-37.08,1.01,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.22938384913954,155.23938384913953,155.23438384913953
228_4,c_iso,155.26500000000001,155.275,155.27,-294.96,,-37.01,1.08,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.23938384913956,155.24938384913955,155.24438384913955
228_4,c_iso,155.275,155.285,155.28,-294.42,,-36.98,1.42,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.24938384913955,155.25938384913954,155.25438384913954
228_4,c_iso,155.285,155.295,155.29,-293.47,,-36.89,1.69,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.25938384913954,155.26938384913953,155.26438384913953
228_4,c_iso,155.29500000000002,155.305,155.3,-293.29,,-36.8,1.15,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.26938384913956,155.27938384913955,155.27438384913955
228_4,c_iso,155.305,155.315,155.31,-293.03,,-36.8,1.4,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.27938384913955,155.28938384913954,155.28438384913954
228_4,c_iso,155.315,155.325,155.32,-292.69,,-36.74,1.26,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.28938384913954,155.29938384913953,155.29438384913954
228_4,c_iso,155.32500000000002,155.335,155.33,-292.57,,-36.73,1.27,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.29938384913956,155.30938384913955,155.30438384913955
228_4,c_iso,155.335,155.345,155.34,-291.59,,-36.64,1.57,-15.0,15.0,-100.0,-115.0,0.0,-107.5,-36.77605112,13.40304549,155.30938384913955,155.31938384913954,155.31438384913955
230_4,l_iso,156.81,156.825,156.8175,-279.4,,-35.34,3.35,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.8763966309548,156.89139663095477,156.88389663095478
230_4,l_iso,156.825,156.837,156.831,-278.6,,-35.3,3.81,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.89139663095477,156.90339663095477,156.89739663095477
230_4,l_iso,156.837,156.849,156.843,-278.79,,-35.38,4.26,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.90339663095477,156.91539663095477,156.90939663095477
230_4,l_iso,156.849,156.862,156.8555,-279.0,,-35.36,3.84,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.91539663095477,156.92839663095478,156.9218966309548
230_4,l_iso,156.862,156.874,156.868,-281.37,,-35.54,2.98,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.92839663095478,156.94039663095478,156.93439663095478
230_4,l_iso,156.874,156.886,156.88,-286.61,,-36.15,2.62,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.94039663095478,156.95239663095478,156.94639663095478
230_4,l_iso,156.886,156.898,156.892,-287.91,,-36.21,1.81,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.95239663095478,156.96439663095478,156.95839663095478
230_4,l_iso,156.898,156.91,156.904,-287.46,,-36.22,2.33,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.96439663095478,156.97639663095478,156.97039663095478
230_4,l_iso,156.91,156.922,156.916,-286.59,,-36.17,2.78,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.97639663095478,156.98839663095478,156.98239663095478
230_4,l_iso,156.922,156.935,156.92849999999999,-289.89,,-36.48,1.98,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,156.98839663095478,157.0013966309548,156.99489663095477
230_4,l_iso,156.935,156.947,156.941,-293.14,,-36.72,0.61,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0013966309548,157.0133966309548,157.0073966309548
230_4,l_iso,156.947,156.959,156.953,-294.25,,-36.85,0.53,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0133966309548,157.0253966309548,157.0193966309548
230_4,l_iso,156.959,156.971,156.965,-294.15,,-36.94,1.39,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0253966309548,157.0373966309548,157.0313966309548
230_4,l_iso,156.971,156.983,156.977,-293.25,,-36.78,1.01,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0373966309548,157.0493966309548,157.0433966309548
230_4,l_iso,156.983,156.995,156.989,-292.76,,-36.77,1.37,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0493966309548,157.0613966309548,157.0553966309548
230_4,l_iso,156.995,157.008,157.00150000000002,-291.95,,-36.66,1.32,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0613966309548,157.0743966309548,157.0678966309548
230_4,l_iso,157.008,157.02,157.014,-291.46,,-36.6,1.32,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0743966309548,157.0863966309548,157.0803966309548
230_4,l_iso,157.02,157.039,157.02949999999998,-291.58,,-36.65,1.63,103.0,113.0,0.0,32.0,108.0,16.0,27.8197762,30.45297949,157.0863966309548,157.10539663095477,157.09589663095477
230_4,r_iso,156.787,156.807,156.797,-280.38,,-35.45,3.24,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.87294030985703,156.892940309857,156.88294030985702
230_4,r_iso,156.807,156.819,156.813,-278.06,,-35.2,3.56,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.892940309857,156.904940309857,156.898940309857
230_4,r_iso,156.819,156.831,156.825,-277.95,,-35.21,3.69,60.0,83.0,72.0,92.0,71.5,82.0,27.8197762,30.45297949,156.904940309857,156.916940309857,156.910940309857
